year,FDI_pct_GDP,TAX_pct_GDP,rgdpo,rkna,pl_gdpo,hc,GDP_USD_bn,C_USD_bn,G_USD_bn,I_USD_bn,X_USD_bn,M_USD_bn,POP_mn,LF_mn,cgdpo_bn,K_USD_bn,TFP,T_USD_bn,Openness_Ratio,NX_USD_bn,S_USD_bn,S_pub_USD_bn,S_priv_USD_bn,Saving_Rate
2015,1.2,15.0,20000.0,0.9,0.4,2.2,11061.55308,0.005,0.0015,0.004,0.002,0.0015,1376.048943,774.451,10.0,32.83,23.899982181554115,1659.23,0.0,0.0,11061.55,1659.23,9402.32,1.0
2016,1.3,15.2,21000.0,0.92,0.41,2.25,11233.27695,0.0052,0.0016,0.0041,0.0021,0.0016,1382.71,776.361,11.0,34.4,23.50375258974444,1707.46,0.0,0.0,11233.27,1707.46,9525.81,1.0
2017,1.4,15.4,22000.0,0.94,0.42,2.3,12310.40937,0.0054,0.0017,0.0042,0.0022,0.0017,1389.618778,778.707,12.0,36.0,24.952518547324523,1895.8,0.0,0.0,12310.4,1895.8,10414.6,1.0
2018,1.5,15.6,23000.0,0.96,0.43,2.35,13894.81755,0.0056,0.0018,0.0043,0.0023,0.0018,1397.715,779.77,13.0,37.64,27.33099468948661,2167.59,0.0,0.0,13894.81,2167.59,11727.22,1.0
2019,1.6,15.8,24000.0,0.98,0.44,2.4,14279.93747,0.0058,0.0019,0.0044,0.0024,0.0019,1402.76,774.253,14.0,39.32,27.429050552392578,2256.23,0.0,0.0,14279.93,2256.23,12023.7,1.0
2020,1.7,16.0,25000.0,1.0,0.45,2.45,14722.7307,0.006,0.002,0.0045,0.0025,0.002,1411.1,775.931,15.0,41.03,27.46262913347525,2355.64,0.0,0.0,14722.72,2355.64,12367.08,1.0
2021,1.8,16.2,26000.0,1.02,0.46,2.5,17734.06265,0.0062,0.0021,0.0046,0.0026,0.0021,1412.36,777.61,16.0,42.78,32.141677880901014,2872.92,0.0,0.0,17734.05,2872.92,14861.13,1.0
2022,1.9,16.4,27000.0,1.04,0.47,2.55,17963.17052,0.0064,0.0022,0.0047,0.0027,0.0022,1425.893465,779.29,17.0,44.57,31.650356285575157,2945.96,0.0,0.0,17963.16,2945.96,15017.2,1.0
2023,2.012,16.605,28081.1538,1.0608,0.4804,2.6,18909.4364,0.0066,0.0022,0.0044,0.0028,0.0022,1430.132,778.4541,18.1367,46.4714,33.2995,3229.8287,,0.0,19450.8888,3229.8287,16222.2249,1.0
2024,2.1307,16.8126,29205.6,1.082,0.4911,2.65,19855.6787,0.0068,0.0022,0.0044,0.0029,0.0022,1436.8779,778.7669,19.3494,48.4539,35.0346,3541.0507,,0.0,21061.833,3541.0507,17523.9447,1.0
2025,2.2563,17.0228,30375.0722,1.1037,0.502,2.7,20801.8975,0.007,0.0022,0.0044,0.003,0.0022,1443.6237,779.0797,20.6432,50.521,36.8601,3882.2616,,0.0,22806.1973,3882.2616,18930.1183,1.0
